product_id,category_id,department_id,product_name,last_modified_date
P4F46073B,MTO2,FS,Classic French Dip Sub (6-inch),2024-12-19 11:35:37.000000 UTC
P7273E0CE,MTO2,FS,Chicken Bacon Ranch Wrap (Large),2024-12-19 11:35:37.000000 UTC
P7CAD0D0E,MTO2,FS,Buffalo Chicken Mac and Cheese (Regular),2024-12-19 11:35:37.000000 UTC
PCBCB260F,MTO2,FS,Veggie Quesadilla (12-inch),2024-12-19 11:35:37.000000 UTC
P3DA08410,MTO2,FS,Shrimp Po'Boy (6-inch),2024-12-19 11:35:37.000000 UTC
P9B6801D6,MTO2,FS,Spicy Chicken Caesar Wrap (Large),2024-12-19 11:35:39.000000 UTC
PC1B582C9,MTO2,FS,California Club Sandwich (6-inch),2024-12-19 11:35:39.000000 UTC
P4E841F93,MTO2,FS,Buffalo Chicken Cheesesteak (Regular),2024-12-19 11:35:39.000000 UTC
P4E801C22,MTO2,FS,Grilled Veggie Panini (Large),2024-12-19 11:35:39.000000 UTC
P2FF89390,MTO2,FS,Tuna Salad Sandwich (Regular),2024-12-19 11:35:39.000000 UTC
P6CC4E101,MTO3,FS,Black Bean Burger (Regular),2024-12-19 11:35:41.000000 UTC
PE196F5FF,MTO3,FS,Chicken Caesar Salad (Large),2024-12-19 11:35:41.000000 UTC
P1F894090,MTO3,FS,Italian Sausage Sub (6-inch),2024-12-19 11:35:41.000000 UTC
PF0E87596,MTO3,FS,Turkey Cranberry Wrap (Large),2024-12-19 11:35:41.000000 UTC
PEC242C24,MTO3,FS,Buffalo Chicken Pizza (12-inch),2024-12-19 11:35:41.000000 UTC
P1728D77B,MTO3,FS,Turkey Ranch Wrap (Regular),2024-12-19 11:35:44.000000 UTC
P0B0D0BCB,MTO3,FS,Chicken Caesar Salad (Large),2024-12-19 11:35:44.000000 UTC
PD1AC3146,MTO3,FS,BBQ Chicken Flatbread (12-inch),2024-12-19 11:35:44.000000 UTC
PA077F8CD,MTO3,FS,Buffalo Chicken Mac & Cheese (Regular),2024-12-19 11:35:44.000000 UTC
PB6CAFC0A,MTO3,FS,Mediterranean Veggie Pita (6-inch),2024-12-19 11:35:44.000000 UTC
P96D40455,MTO3,FS,Chicken Caesar Salad (Regular),2024-12-19 11:35:47.000000 UTC
P2C71B5D9,MTO3,FS,Buffalo Chicken Wrap (Large),2024-12-19 11:35:47.000000 UTC
PABCF3A26,MTO3,FS,Turkey & Swiss Panini (6-inch),2024-12-19 11:35:47.000000 UTC
P5676D770,MTO3,FS,BLT Sandwich (12-inch),2024-12-19 11:35:47.000000 UTC
P679C84D2,MTO3,FS,California Veggie Wrap (Large),2024-12-19 11:35:47.000000 UTC
P9F17CCF6,RTE1,FS,1. Italian Sub (Regular),2024-12-19 11:35:49.000000 UTC
PC0149886,RTE1,FS,2. Turkey Ranch Wrap (Individual),2024-12-19 11:35:49.000000 UTC
PD59FC282,RTE1,FS,3. Tuna Salad Sandwich (Individual),2024-12-19 11:35:49.000000 UTC
P08F7E3F2,RTE1,FS,4. Chicken Salad Sandwich (Individual),2024-12-19 11:35:49.000000 UTC
PB01C4716,RTE1,FS,5. Egg Salad Sandwich (Individual),2024-12-19 11:35:49.000000 UTC
P03B052E2,RTE1,FS,1. Southwest Chicken Wrap (Individual),2024-12-19 11:35:51.000000 UTC
P63F7A513,RTE1,FS,2. Turkey and Provolone Hoagie (Regular),2024-12-19 11:35:51.000000 UTC
P0CBAD96A,RTE1,FS,3. Caprese Salad (Individual),2024-12-19 11:35:51.000000 UTC
P6A4B0DCA,RTE1,FS,4. Tuna Salad Sandwich (Regular),2024-12-19 11:35:51.000000 UTC
P3528D3EA,RTE1,FS,5. Ham and Swiss Croissant (Individual),2024-12-19 11:35:51.000000 UTC
PD4DF9DCC,RTE1,FS,Spicy Italian Wrap (Regular),2024-12-19 11:35:53.000000 UTC
P29D4826C,RTE1,FS,Tuna Salad Sandwich (Individual),2024-12-19 11:35:53.000000 UTC
PEE050AB9,RTE2,FS,1. Ham and Swiss Sandwich (Individual),2024-12-19 11:35:55.000000 UTC
P61F1E278,RTE2,FS,2. Italian Sub (Large),2024-12-19 11:35:55.000000 UTC
P3474ADBB,RTE2,FS,3. Tuna Salad Sandwich (Regular),2024-12-19 11:35:55.000000 UTC
P4F66ADE0,RTE2,FS,4. Turkey and Swiss Wrap (Individual),2024-12-19 11:35:55.000000 UTC
P317335CF,RTE2,FS,5. Chicken Salad Sandwich (Regular),2024-12-19 11:35:55.000000 UTC
P38651067,RTE2,FS,1. Turkey & Swiss Wrap (Regular),2024-12-19 11:35:57.000000 UTC
PCC77D4C5,RTE2,FS,2. Veggie & Hummus Wrap (Regular),2024-12-19 11:35:57.000000 UTC
P4767A8AD,RTE2,FS,3. Chicken Salad Sandwich (Regular),2024-12-19 11:35:57.000000 UTC
P37A63578,RTE2,FS,4. Italian Sub (Regular),2024-12-19 11:35:57.000000 UTC
P70D5DF4C,RTE2,FS,5. Tuna Salad Sandwich (Regular),2024-12-19 11:35:57.000000 UTC
P61830068,RTE2,FS,1. Tuna Salad Sandwich (Regular),2024-12-19 11:35:59.000000 UTC
P6E6A5617,RTE2,FS,2. Turkey & Swiss Wrap (Large),2024-12-19 11:35:59.000000 UTC
P795F387A,HOT1,FS,Chicken Parmesan Sandwich (Regular),2024-12-19 11:36:01.000000 UTC
P45B9F258,HOT1,FS,Lasagna (Family),2024-12-19 11:36:01.000000 UTC
P47278126,HOT1,FS,Buffalo Chicken Dip (Large),2024-12-19 11:36:01.000000 UTC
PC576C8D2,HOT1,FS,Beef & Cheddar Meatballs (Regular),2024-12-19 11:36:01.000000 UTC
P5A67D451,HOT1,FS,Stuffed Peppers (Large),2024-12-19 11:36:01.000000 UTC
P097AF8E5,HOT1,FS,Chicken Caesar Wrap (Regular),2024-12-19 11:36:03.000000 UTC
P6E4D2EDB,HOT1,FS,Buffalo Chicken Mac & Cheese (Large),2024-12-19 11:36:03.000000 UTC
PFBF16D14,HOT1,FS,Pizza Roll-Ups (Family),2024-12-19 11:36:03.000000 UTC
P12179CFA,HOT1,FS,Ham & Swiss Croissant (Regular),2024-12-19 11:36:03.000000 UTC
P68D6E070,HOT1,FS,Chicken Pot Pie (Regular),2024-12-19 11:36:03.000000 UTC
P91162230,HOT2,FS,Chicken Pot Pie (Large),2024-12-19 11:36:05.000000 UTC
P828E3C0A,HOT2,FS,Beef & Broccoli Bowl (Large),2024-12-19 11:36:05.000000 UTC
P4F579727,HOT2,FS,Spicy Italian Sausage & Peppers Bowl (Large),2024-12-19 11:36:05.000000 UTC
P30A221B9,HOT2,FS,Chicken Parmesan Sub (Regular),2024-12-19 11:36:05.000000 UTC
P926A2BA0,HOT2,FS,Buffalo Chicken Mac & Cheese (Large),2024-12-19 11:36:05.000000 UTC
PFDE921CA,HOT2,FS,Chicken Pot Pie (Regular),2024-12-19 11:36:07.000000 UTC
P7B63F500,HOT2,FS,Chicken Tenders (Large),2024-12-19 11:36:07.000000 UTC
PEBE2FEF1,HOT2,FS,Meatball Sub (Large),2024-12-19 11:36:07.000000 UTC
P62842503,HOT2,FS,Pepperoni Pizza (Regular),2024-12-19 11:36:07.000000 UTC
P910FF5F3,HOT2,FS,Buffalo Chicken Dip (Large),2024-12-19 11:36:07.000000 UTC
PFB0AC91F,BAK1,BAK,Cinnamon Rolls (Dozen),2024-12-19 11:36:09.000000 UTC
PD1B94C71,BAK1,BAK,Croissants (Single),2024-12-19 11:36:09.000000 UTC
PF7F80EFC,BAK1,BAK,Apple Fritters (Half-Dozen),2024-12-19 11:36:09.000000 UTC
P5C86286B,BAK1,BAK,Blueberry Muffins (6-Pack),2024-12-19 11:36:09.000000 UTC
PF5909F2A,BAK1,BAK,Chocolate Chip Cookies (Half-Dozen),2024-12-19 11:36:09.000000 UTC
P7587966E,BAK1,BAK,1. Blueberry Muffins (Half-Dozen),2024-12-19 11:36:10.000000 UTC
PC0272EB7,BAK1,BAK,2. Chocolate Chip Cookies (Dozen),2024-12-19 11:36:10.000000 UTC
PAC0B22D3,BAK1,BAK,3. Croissants (Regular),2024-12-19 11:36:10.000000 UTC
PEF145844,BAK1,BAK,4. Cinnamon Rolls (Single),2024-12-19 11:36:10.000000 UTC
P424C28A7,BAK1,BAK,5. Bagels (Dozen),2024-12-19 11:36:10.000000 UTC
P094EDE67,BAK2,BAK,1. Glazed Donuts (Half-Dozen),2024-12-19 11:36:12.000000 UTC
